,Tags,SeqName,Description,Length,#Hits,e-Value,sim mean,#GO,GO IDs,GO Names,Enzyme Codes,Enzyme Names,InterPro IDs,InterPro GO IDs,InterPro GO Names
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_753,multidrug transporter,120,20,5.80E-78,99.46,4,C:GO:0005886; F:GO:0015606; C:GO:0016021; P:GO:1903711,C:plasma membrane; F:spermidine transmembrane transporter activity; C:integral component of membrane; P:spermidine transmembrane transport,,,G3DSA:1.10.3730.20 (GENE3D); IPR000390 (PFAM); IPR000390 (PANTHER); IPR023740 (PTHR30561:PANTHER); IPR023740 (HAMAP); SSF103481 (SUPERFAMILY),C:GO:0005886; F:GO:0015606; P:GO:0015848; C:GO:0016021,C:plasma membrane; F:spermidine transmembrane transporter activity; P:spermidine transport; C:integral component of membrane
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_754,pheromone autoinducer 2 transporter,344,20,0,99.59,1,C:GO:0016021,C:integral component of membrane,,,IPR002549 (PFAM); PTHR21716:SF21 (PANTHER); IPR002549 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_755,alcohol dehydrogenase,315,20,0,96.03,3,F:GO:0003960; F:GO:0008270; P:GO:0055114,F:NADPH:quinone reductase activity; F:zinc ion binding; P:oxidation-reduction process,EC:1.6.5.5,NADPH:quinone reductase,G3DSA:3.40.50.720 (GENE3D); G3DSA:3.90.180.10 (GENE3D); PTHR43006 (PANTHER); PTHR43006:SF4 (PANTHER); cd05282 (CDD); IPR036291 (SUPERFAMILY); IPR011032 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_756,alkane 1-monooxygenase,341,20,0,99.88,2,F:GO:0047646; P:GO:0055114,F:alkanal monooxygenase (FMN-linked) activity; P:oxidation-reduction process,EC:1.14.14.3; EC:1.14.14,"Bacterial luciferase; Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)",IPR036661 (G3DSA:3.20.20.GENE3D); IPR011251 (PFAM); PTHR30137:SF15 (PANTHER); PTHR30137 (PANTHER); cd00347 (CDD); IPR036661 (SUPERFAMILY),F:GO:0016705; P:GO:0055114,"F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; P:oxidation-reduction process"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_757,HNH endonuclease,115,20,1.68E-82,99.57,3,F:GO:0003676; F:GO:0004519; P:GO:0090305,F:nucleic acid binding; F:endonuclease activity; P:nucleic acid phosphodiester bond hydrolysis,,,IPR003615 (SMART); IPR002711 (PFAM); PTHR41286 (PANTHER); IPR003615 (CDD),F:GO:0003676; F:GO:0004519,F:nucleic acid binding; F:endonuclease activity
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_758,#NAME?,261,20,0,97.84,,,,,,IPR010583 (PFAM); IPR010583 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_759,DNA-binding response regulator,231,20,8.46E-163,98.38,5,P:GO:0000160; F:GO:0003677; C:GO:0005622; P:GO:0006351; P:GO:0006355,"P:phosphorelay signal transduction system; F:DNA binding; C:intracellular; P:transcription, DNA-templated; P:regulation of transcription, DNA-templated",,,IPR001867 (SMART); IPR001789 (SMART); IPR036388 (G3DSA:1.10.10.GENE3D); IPR001789 (PFAM); IPR001867 (PFAM); G3DSA:3.40.50.2300 (GENE3D); IPR039420 (PANTHER); PTHR26402:SF718 (PANTHER); IPR001867 (PROSITE_PROFILES); IPR001789 (PROSITE_PROFILES); IPR001789 (CDD); IPR001867 (CDD); IPR011006 (SUPERFAMILY); IPR016032 (SUPERFAMILY),P:GO:0000160; F:GO:0003677; P:GO:0006355,"P:phosphorelay signal transduction system; F:DNA binding; P:regulation of transcription, DNA-templated"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_760,sensor histidine kinase,398,20,0,97.4,7,F:GO:0000155; P:GO:0000160; F:GO:0005524; C:GO:0005622; C:GO:0016021; P:GO:0018106; P:GO:0023014,F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; F:ATP binding; C:intracellular; C:integral component of membrane; P:peptidyl-histidine phosphorylation; P:signal transduction by protein phosphorylation,EC:2.7.13.3,Histidine kinase,IPR004358 (PRINTS); IPR003594 (SMART); IPR003661 (SMART); G3DSA:1.10.287.130 (GENE3D); IPR003594 (PFAM); IPR036890 (G3DSA:3.30.565.GENE3D); PTHR43047 (PANTHER); PTHR43047:SF11 (PANTHER); IPR003660 (PROSITE_PROFILES); IPR005467 (PROSITE_PROFILES); IPR003661 (CDD); IPR003594 (CDD); IPR036097 (SUPERFAMILY); IPR036890 (SUPERFAMILY),F:GO:0000155; P:GO:0007165; C:GO:0016021; P:GO:0016310; F:GO:0016772,"F:phosphorelay sensor kinase activity; P:signal transduction; C:integral component of membrane; P:phosphorylation; F:transferase activity, transferring phosphorus-containing groups"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_761,efflux transporter periplasmic adaptor subunit,382,20,0,97.03,3,F:GO:0005215; C:GO:0016020; P:GO:0055085,F:transporter activity; C:membrane; P:transmembrane transport,,,IPR006143 (TIGRFAM); G3DSA:2.40.50.100 (GENE3D); G3DSA:1.10.287.470 (GENE3D); IPR032317 (PFAM); G3DSA:2.40.420.20 (GENE3D); G3DSA:2.40.30.170 (GENE3D); PTHR30469 (PANTHER); SSF111369 (SUPERFAMILY),F:GO:0005215; C:GO:0016020; P:GO:0055085,F:transporter activity; C:membrane; P:transmembrane transport
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_762,family,1025,20,0,98.5,3,C:GO:0016021; F:GO:0022857; P:GO:0055085,C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport,,,IPR001036 (PRINTS); G3DSA:3.30.70.1430 (GENE3D); G3DSA:1.20.1640.10 (GENE3D); IPR027463 (G3DSA:3.30.2090.GENE3D); G3DSA:3.30.70.1430 (GENE3D); IPR001036 (PFAM); G3DSA:3.30.70.1440 (GENE3D); IPR027463 (G3DSA:3.30.2090.GENE3D); G3DSA:3.30.70.1320 (GENE3D); G3DSA:1.20.1640.10 (GENE3D); PTHR32063:SF64 (PANTHER); IPR001036 (PANTHER); SSF82693 (SUPERFAMILY); SSF82866 (SUPERFAMILY); SSF82693 (SUPERFAMILY); SSF82693 (SUPERFAMILY); IPR027463 (SUPERFAMILY); IPR027463 (SUPERFAMILY); SSF82866 (SUPERFAMILY),C:GO:0016020; F:GO:0022857; P:GO:0055085,C:membrane; F:transmembrane transporter activity; P:transmembrane transport
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_763,acetyltransferase,255,20,0,98.67,2,P:GO:0008152; F:GO:0046990,P:metabolic process; F:N-hydroxyarylamine O-acetyltransferase activity,EC:2.3.1.118,N-hydroxyarylamine O-acetyltransferase,IPR001447 (PRINTS); G3DSA:2.40.128.150 (GENE3D); G3DSA:3.30.2140.10 (GENE3D); IPR001447 (PFAM); IPR001447 (PANTHER); IPR038765 (SUPERFAMILY),F:GO:0016407,F:acetyltransferase activity
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_764,transcriptional regulator,484,20,0,97.43,5,F:GO:0003677; F:GO:0003700; F:GO:0003824; P:GO:0006355; F:GO:0030170,"F:DNA binding; F:DNA-binding transcription factor activity; F:catalytic activity; P:regulation of transcription, DNA-templated; F:pyridoxal phosphate binding",,,IPR000524 (SMART); IPR004839 (PFAM); IPR000524 (PFAM); IPR015421 (G3DSA:3.40.640.GENE3D); IPR036388 (G3DSA:1.10.10.GENE3D); IPR015422 (G3DSA:3.90.1150.GENE3D); PTHR42790:SF9 (PANTHER); PTHR42790 (PANTHER); IPR000524 (PROSITE_PROFILES); IPR000524 (CDD); cd00609 (CDD); IPR015424 (SUPERFAMILY); IPR036390 (SUPERFAMILY),F:GO:0003700; F:GO:0003824; P:GO:0006355; P:GO:0009058; F:GO:0030170,"F:DNA-binding transcription factor activity; F:catalytic activity; P:regulation of transcription, DNA-templated; P:biosynthetic process; F:pyridoxal phosphate binding"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_765,family transcriptional regulator,323,20,0,97.93,4,F:GO:0003677; F:GO:0003700; P:GO:0006351; P:GO:0006355,"F:DNA binding; F:DNA-binding transcription factor activity; P:transcription, DNA-templated; P:regulation of transcription, DNA-templated",,,IPR005119 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); G3DSA:3.40.190.290 (GENE3D); IPR000847 (PFAM); PTHR30537:SF33 (PANTHER); PTHR30537 (PANTHER); IPR000847 (PROSITE_PROFILES); cd08472 (CDD); IPR036390 (SUPERFAMILY); SSF53850 (SUPERFAMILY),F:GO:0003700; P:GO:0006355,"F:DNA-binding transcription factor activity; P:regulation of transcription, DNA-templated"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_766,diguanylate cyclase,326,20,0,97.82,2,F:GO:0018580; P:GO:0055114,F:nitronate monooxygenase activity; P:oxidation-reduction process,EC:1.13.12.16; EC:1.13.12,Nitronate monooxygenase; Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O(2),IPR004136 (PFAM); IPR013785 (G3DSA:3.20.20.GENE3D); PTHR32332 (PANTHER); PTHR32332:SF20 (PANTHER); cd04730 (CDD); SSF51412 (SUPERFAMILY),F:GO:0003824; F:GO:0018580; P:GO:0055114,F:catalytic activity; F:nitronate monooxygenase activity; P:oxidation-reduction process
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_767,NAD-dependent dehydratase,351,20,0,95.8,2,F:GO:0003824; F:GO:0050662,F:catalytic activity; F:coenzyme binding,,,G3DSA:3.40.50.720 (GENE3D); IPR001509 (PFAM); PTHR32487 (PANTHER); cd08948 (CDD); IPR036291 (SUPERFAMILY),F:GO:0003824; F:GO:0050662,F:catalytic activity; F:coenzyme binding
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_768,family transcriptional regulator,295,20,0,96.95,4,F:GO:0003677; F:GO:0003700; P:GO:0006351; P:GO:0006355,"F:DNA binding; F:DNA-binding transcription factor activity; P:transcription, DNA-templated; P:regulation of transcription, DNA-templated",,,IPR000847 (PRINTS); IPR000847 (PFAM); IPR005119 (PFAM); G3DSA:3.40.190.290 (GENE3D); IPR036388 (G3DSA:1.10.10.GENE3D); PTHR30537 (PANTHER); IPR000847 (PROSITE_PROFILES); cd08422 (CDD); SSF53850 (SUPERFAMILY); IPR036390 (SUPERFAMILY),F:GO:0003700; P:GO:0006355,"F:DNA-binding transcription factor activity; P:regulation of transcription, DNA-templated"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_769,Uncharacterised,89,20,1.22E-56,97.08,1,C:GO:0016021,C:integral component of membrane,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_770,DNA polymerase V subunit,420,20,0,99.21,4,F:GO:0003684; F:GO:0003887; P:GO:0006281; P:GO:0071897,F:damaged DNA binding; F:DNA-directed DNA polymerase activity; P:DNA repair; P:DNA biosynthetic process,EC:2.7.7.7,DNA-directed DNA polymerase,IPR025188 (PFAM); IPR001126 (PFAM); G3DSA:1.10.150.20 (GENE3D); IPR017961 (PFAM); IPR036775 (G3DSA:3.30.1490.GENE3D); G3DSA:3.30.70.270 (GENE3D); G3DSA:2.30.40.20 (GENE3D); IPR024728 (PFAM); PTHR11076 (PANTHER); PTHR11076:SF40 (PANTHER); IPR001126 (PROSITE_PROFILES); cd01700 (CDD); SSF56672 (SUPERFAMILY); IPR036775 (SUPERFAMILY),F:GO:0003684; P:GO:0006281,F:damaged DNA binding; P:DNA repair
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_771,DNA polymerase V subunit,144,20,4.58E-101,98.16,5,F:GO:0003677; P:GO:0006281; P:GO:0006355; P:GO:0009432; F:GO:0016787,"F:DNA binding; P:DNA repair; P:regulation of transcription, DNA-templated; P:SOS response; F:hydrolase activity",,,IPR006197 (PRINTS); IPR015927 (PFAM); G3DSA:2.10.109.10 (GENE3D); PTHR33516 (PANTHER); PTHR33516:SF2 (PANTHER); IPR039418 (CDD); IPR036286 (SUPERFAMILY),F:GO:0003677; P:GO:0006355,"F:DNA binding; P:regulation of transcription, DNA-templated"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_772,oxidoreductase,288,20,0,98.58,2,F:GO:0016491; P:GO:0055114,F:oxidoreductase activity; P:oxidation-reduction process,,,IPR020471 (PRINTS); IPR036812 (G3DSA:3.20.20.GENE3D); IPR023210 (PFAM); PTHR43625:SF17 (PANTHER); PTHR43625 (PANTHER); IPR023210 (CDD); IPR036812 (SUPERFAMILY),F:GO:0016491; P:GO:0055114,F:oxidoreductase activity; P:oxidation-reduction process
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_773,methyl-accepting chemotaxis II,553,20,0,99.67,4,F:GO:0004888; P:GO:0006935; P:GO:0007165; C:GO:0016021,F:transmembrane signaling receptor activity; P:chemotaxis; P:signal transduction; C:integral component of membrane,,,IPR004090 (PRINTS); IPR003122 (SMART); IPR004089 (SMART); IPR003660 (SMART); IPR003122 (PFAM); G3DSA:1.20.120.30 (GENE3D); IPR004089 (PFAM); G3DSA:1.10.287.950 (GENE3D); IPR003660 (PFAM); PTHR43531 (PANTHER); PTHR43531:SF6 (PANTHER); IPR004089 (PROSITE_PROFILES); IPR003660 (PROSITE_PROFILES); IPR003660 (CDD); cd11386 (CDD); IPR003122 (CDD); IPR035440 (SUPERFAMILY); SSF58104 (SUPERFAMILY),F:GO:0004888; P:GO:0006935; P:GO:0007165; C:GO:0016020; C:GO:0016021,F:transmembrane signaling receptor activity; P:chemotaxis; P:signal transduction; C:membrane; C:integral component of membrane
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_774,DNA endonuclease,187,20,2.93E-134,98.48,2,F:GO:0004519; P:GO:0090305,F:endonuclease activity; P:nucleic acid phosphodiester bond hydrolysis,,,IPR002625 (SMART); IPR002625 (PFAM); G3DSA:3.30.1370.110 (GENE3D); PTHR35562 (PANTHER); PTHR35562:SF2 (PANTHER); IPR002625 (PROSITE_PROFILES); IPR036063 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_775,transcriptional regulator,303,20,0,99.31,4,F:GO:0003677; F:GO:0003700; P:GO:0006351; P:GO:0006355,"F:DNA binding; F:DNA-binding transcription factor activity; P:transcription, DNA-templated; P:regulation of transcription, DNA-templated",,,IPR000847 (PRINTS); G3DSA:3.40.190.10 (GENE3D); IPR000847 (PFAM); IPR005119 (PFAM); G3DSA:3.40.190.10 (GENE3D); IPR036388 (G3DSA:1.10.10.GENE3D); PTHR30126 (PANTHER); PTHR30126:SF3 (PANTHER); IPR000847 (PROSITE_PROFILES); cd08418 (CDD); IPR036390 (SUPERFAMILY); SSF53850 (SUPERFAMILY),F:GO:0003700; P:GO:0006355,"F:DNA-binding transcription factor activity; P:regulation of transcription, DNA-templated"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_776,peptidase M20,436,20,0,98.85,2,P:GO:0008152; F:GO:0016810,"P:metabolic process; F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",,,IPR017439 (PIRSF); IPR017439 (TIGRFAM); IPR011650 (PFAM); G3DSA:3.40.630.10 (GENE3D); IPR002933 (PFAM); PTHR30575:SF6 (PANTHER); PTHR30575 (PANTHER); IPR033845 (CDD); IPR036264 (SUPERFAMILY); SSF53187 (SUPERFAMILY),F:GO:0016787; F:GO:0016810,"F:hydrolase activity; F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_777,amidohydrolase,481,20,0,99.68,2,P:GO:0008152; F:GO:0016787,P:metabolic process; F:hydrolase activity,,,G3DSA:3.40.630.10 (GENE3D); G3DSA:3.30.70.360 (GENE3D); G3DSA:3.40.630.10 (GENE3D); IPR017145 (PIRSF); IPR017439 (TIGRFAM); IPR011650 (PFAM); PTHR30575:SF6 (PANTHER); PTHR30575 (PANTHER); IPR017145 (CDD); SSF53187 (SUPERFAMILY); IPR036264 (SUPERFAMILY),F:GO:0016787,F:hydrolase activity
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_778,p-aminobenzoyl-glutamate transporter,508,20,0,99.65,3,F:GO:0015558; C:GO:0016021; P:GO:1902604,F:secondary active p-aminobenzoyl-glutamate transmembrane transporter activity; C:integral component of membrane; P:p-aminobenzoyl-glutamate transmembrane transport,,,IPR004697 (PFAM); IPR011540 (TIGRFAM); PTHR30282:SF0 (PANTHER); IPR004697 (PANTHER),F:GO:0015558; P:GO:1902604,F:secondary active p-aminobenzoyl-glutamate transmembrane transporter activity; P:p-aminobenzoyl-glutamate transmembrane transport
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_779,methylated-DNA-- -cysteine methyltransferase,171,20,1.09E-121,98.83,4,F:GO:0003908; C:GO:0005737; P:GO:0006307; P:GO:0032259,F:methylated-DNA-[protein]-cysteine S-methyltransferase activity; C:cytoplasm; P:DNA dealkylation involved in DNA repair; P:methylation,EC:2.1.1.63,Methylated-DNA--[protein]-cysteine S-methyltransferase,IPR008332 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); IPR014048 (TIGRFAM); IPR014048 (PFAM); PTHR10815:SF5 (PANTHER); PTHR10815 (PANTHER); IPR023546 (HAMAP); IPR014048 (CDD); IPR036217 (SUPERFAMILY); IPR036631 (SUPERFAMILY),F:GO:0003824; F:GO:0003908; P:GO:0006281,F:catalytic activity; F:methylated-DNA-[protein]-cysteine S-methyltransferase activity; P:DNA repair
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_780,transcriptional regulator,250,20,0,99.86,5,F:GO:0003677; F:GO:0003700; C:GO:0005622; P:GO:0006351; P:GO:0006355,"F:DNA binding; F:DNA-binding transcription factor activity; C:intracellular; P:transcription, DNA-templated; P:regulation of transcription, DNA-templated",,,IPR012318 (PRINTS); IPR000595 (SMART); IPR012318 (SMART); IPR012318 (PFAM); IPR014710 (G3DSA:2.60.120.GENE3D); IPR000595 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); PTHR24567:SF28 (PANTHER); PTHR24567 (PANTHER); IPR000595 (PROSITE_PROFILES); IPR012318 (PROSITE_PROFILES); IPR000595 (CDD); cd00092 (CDD); IPR036390 (SUPERFAMILY); IPR018490 (SUPERFAMILY),F:GO:0003677; P:GO:0006355,"F:DNA binding; P:regulation of transcription, DNA-templated"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_781,Uncharacterised,64,20,2.38E-35,98.12,1,C:GO:0016021,C:integral component of membrane,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_782,Gifsy-2 prophage,60,20,2.04E-31,91.42,,,,,,IPR036590 (G3DSA:3.90.1680.GENE3D),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_783,IS600 orf,101,20,1.07E-59,92.13,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_784,hypothetical protein,112,2,1.40E-53,71.96,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_785,DUF3596 domain-containing,77,12,6.57E-18,81.54,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_786,universal stress,316,20,0,99.86,1,P:GO:0006950,P:response to stress,,,IPR006016 (PFAM); G3DSA:3.40.50.12370 (GENE3D); PTHR31964 (PANTHER); PTHR31964:SF41 (PANTHER); cd00293 (CDD); cd00293 (CDD); SSF52402 (SUPERFAMILY); SSF52402 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_787,pyridine nucleotide transhydrogenase,457,20,0,99.88,5,C:GO:0005886; F:GO:0008750; C:GO:0016021; F:GO:0050661; P:GO:0055114,C:plasma membrane; F:NAD(P)+ transhydrogenase (AB-specific) activity; C:integral component of membrane; F:NADP binding; P:oxidation-reduction process,EC:1.6.1.2,NAD(P)(+) transhydrogenase (Re/Si-specific),IPR034300 (PFAM); IPR012136 (PIRSF); G3DSA:3.40.50.1220 (GENE3D); PTHR44758 (PANTHER); IPR029035 (SUPERFAMILY),F:GO:0008750; C:GO:0016021; F:GO:0050661; P:GO:0055114,F:NAD(P)+ transhydrogenase (AB-specific) activity; C:integral component of membrane; F:NADP binding; P:oxidation-reduction process
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_788,NAD(P) transhydrogenase subunit alpha,509,20,0,99.36,5,F:GO:0000166; F:GO:0008750; C:GO:0016021; P:GO:0055114; P:GO:1902600,F:nucleotide binding; F:NAD(P)+ transhydrogenase (AB-specific) activity; C:integral component of membrane; P:oxidation-reduction process; P:proton transmembrane transport,EC:1.6.1.2,NAD(P)(+) transhydrogenase (Re/Si-specific),IPR007886 (SMART); IPR007698 (SMART); IPR026255 (TIGRFAM); IPR024605 (PFAM); G3DSA:3.40.50.720 (GENE3D); IPR026255 (PIRSF); G3DSA:3.40.50.720 (GENE3D); IPR007698 (PFAM); IPR007886 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR10160:SF19 (PANTHER); PTHR10160 (PANTHER); cd05304 (CDD); SSF52283 (SUPERFAMILY); IPR036291 (SUPERFAMILY),F:GO:0008746; P:GO:0055114; P:GO:1902600,F:NAD(P)+ transhydrogenase activity; P:oxidation-reduction process; P:proton transmembrane transport
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_789,DUF1471 domain-containing,314,20,0,99.28,,,,,,IPR025543 (G3DSA:3.30.1660.GENE3D); IPR025543 (G3DSA:3.30.1660.GENE3D); IPR025539 (PIRSF); IPR010854 (PFAM); PTHR34156 (PANTHER); PTHR34156:SF2 (PANTHER); IPR036275 (SUPERFAMILY); IPR036275 (SUPERFAMILY); IPR036275 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_790,arginine:ornithine antiporter,460,20,0,99.9,3,P:GO:0003333; F:GO:0015171; C:GO:0016021,P:amino acid transmembrane transport; F:amino acid transmembrane transporter activity; C:integral component of membrane,,,IPR002293 (PFAM); G3DSA:1.20.1740.10 (GENE3D); IPR004754 (TIGRFAM); IPR002293 (PIRSF); PTHR42770:SF4 (PANTHER); PTHR42770 (PANTHER),P:GO:0006865; C:GO:0016020; C:GO:0016021; F:GO:0022857; P:GO:0055085,P:amino acid transport; C:membrane; C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_791,dihydromonapterin reductase,240,20,6.47E-176,98.92,2,F:GO:0016491; P:GO:0055114,F:oxidoreductase activity; P:oxidation-reduction process,,,IPR002347 (PRINTS); G3DSA:3.40.50.720 (GENE3D); PF13561 (PFAM); PTHR43639 (PANTHER); PTHR43639:SF1 (PANTHER); IPR036291 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_792,inner membrane,111,20,6.88E-69,97.07,1,C:GO:0016021,C:integral component of membrane,,,IPR009707 (PFAM); IPR009707 (PRODOM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_793,winged helix family two component transcriptional regulator,250,20,0,99.58,5,P:GO:0000160; F:GO:0003677; C:GO:0005622; P:GO:0006351; P:GO:0006355,"P:phosphorelay signal transduction system; F:DNA binding; C:intracellular; P:transcription, DNA-templated; P:regulation of transcription, DNA-templated",,,IPR001867 (SMART); IPR001789 (SMART); G3DSA:3.40.50.2300 (GENE3D); IPR001867 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); IPR001789 (PFAM); PTHR26402:SF548 (PANTHER); IPR039420 (PANTHER); IPR001867 (PROSITE_PROFILES); IPR001789 (PROSITE_PROFILES); IPR001789 (CDD); IPR001867 (CDD); IPR011006 (SUPERFAMILY); IPR016032 (SUPERFAMILY),P:GO:0000160; F:GO:0003677; P:GO:0006355,"P:phosphorelay signal transduction system; F:DNA binding; P:regulation of transcription, DNA-templated"
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_794,Uncharacterised,86,20,2.40E-54,97.38,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_795,two-component system sensor histidine kinase,432,20,0,99.9,6,F:GO:0000155; P:GO:0000160; F:GO:0005524; C:GO:0005622; C:GO:0016021; P:GO:0023014,F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; F:ATP binding; C:intracellular; C:integral component of membrane; P:signal transduction by protein phosphorylation,EC:2.7.13.3,Histidine kinase,IPR004358 (PRINTS); IPR003661 (SMART); IPR003594 (SMART); IPR003660 (SMART); IPR003594 (PFAM); IPR003661 (PFAM); G3DSA:1.10.287.130 (GENE3D); IPR003660 (PFAM); IPR036890 (G3DSA:3.30.565.GENE3D); PTHR44936 (PANTHER); IPR005467 (PROSITE_PROFILES); IPR003660 (PROSITE_PROFILES); IPR003661 (CDD); IPR003660 (CDD); IPR003594 (CDD); IPR036890 (SUPERFAMILY); IPR036097 (SUPERFAMILY),F:GO:0000155; P:GO:0007165; C:GO:0016021; P:GO:0016310; F:GO:0016772,"F:phosphorelay sensor kinase activity; P:signal transduction; C:integral component of membrane; P:phosphorylation; F:transferase activity, transferring phosphorus-containing groups"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_796,DNA replication terminus site-binding,309,20,0,98.3,3,F:GO:0003677; C:GO:0005737; P:GO:0006274,F:DNA binding; C:cytoplasm; P:DNA replication termination,,,IPR008865 (PFAM); IPR036381 (G3DSA:3.50.14.GENE3D); G3DSA:3.30.54.10 (GENE3D); IPR008865 (TIGRFAM); IPR008865 (HAMAP); IPR036384 (SUPERFAMILY),F:GO:0003677; C:GO:0005737; P:GO:0006274,F:DNA binding; C:cytoplasm; P:DNA replication termination
